Function,Synopsis,Parameter,Type,Mandatory,IsSwitch,Aliases,ParameterSets,AcceptsPipeline,Description
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,ExtensionID,String,TRUE,FALSE,,__AllParameterSets,FALSE,The ID of the extension to add.
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,UpdateUrl,String,TRUE,FALSE,,__AllParameterSets,FALSE,The update URL of the extension. This is the URL where the extension will check for updates.
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,InstallationMode,String,TRUE,FALSE,,__AllParameterSets,FALSE,"The installation mode of the extension. Allowed values: blocked, allowed, removed, force_installed, normal_installed."
Add-ADTEdgeExtension,Adds an extension for Microsoft Edge using the ExtensionSettings policy.,MinimumVersionRequired,String,FALSE,FALSE,,__AllParameterSets,FALSE,The minimum version of the extension required for installation.
Add-ADTModuleCallback,Adds a callback function to the nominated hooking point.,Hookpoint,CallbackType,TRUE,FALSE,,__AllParameterSets,FALSE,"Where you wish for the callback to be executed at. Valid hookpoints are: * OnInit (The callback is executed before the module is initialized) * OnStart (The callback is executed before the first deployment session is opened) * PreOpen (The callback is executed before a deployment session is opened) * PostOpen (The callback is executed after a deployment session is opened) * PreClose (The callback is executed before the deployment session is closed) * PostClose (The callback is executed after the deployment session is closed) * OnFinish (The callback is executed before the last deployment session is closed) * OnExit (The callback is executed after the last deployment session is closed) Each hook point supports multiple callbacks, each invoked in the order they're added. To see a list all the registered callbacks in order, use `Get-ADTModuleCallback`."
Add-ADTModuleCallback,Adds a callback function to the nominated hooking point.,Callback,CommandInfo[],TRUE,FALSE,,__AllParameterSets,FALSE,The callback function to add to the nominated hooking point.
Block-ADTAppExecution,Block the execution of an application(s).,Processes,ProcessDefinition[],TRUE,FALSE,ProcessName,__AllParameterSets,FALSE,Name of the process or processes separated by commas.
Block-ADTAppExecution,Block the execution of an application(s).,WindowLocation,DialogPosition,FALSE,FALSE,,__AllParameterSets,FALSE,The location of the dialog on the screen.
Clear-ADTModuleCallback,Clears the nominated hooking point of all callbacks.,Hookpoint,CallbackType,TRUE,FALSE,,__AllParameterSets,FALSE,"The callback hook point that you wish to clear. Valid hookpoints are: * OnInit (The callback is executed before the module is initialized) * OnStart (The callback is executed before the first deployment session is opened) * PreOpen (The callback is executed before a deployment session is opened) * PostOpen (The callback is executed after a deployment session is opened) * PreClose (The callback is executed before the deployment session is closed) * PostClose (The callback is executed after the deployment session is closed) * OnFinish (The callback is executed before the last deployment session is closed) * OnExit (The callback is executed after the last deployment session is closed) To see a list all the registered callbacks in order, use `Get-ADTModuleCallback`."
Close-ADTInstallationProgress,Closes the dialog created by Show-ADTInstallationProgress.,(none),,,,,,,
Close-ADTSession,Closes the active ADT session.,ExitCode,Nullable`1,FALSE,FALSE,,"Force, None, NoShellExit",FALSE,The exit code to set for the session.
Close-ADTSession,Closes the active ADT session.,NoShellExit,SwitchParameter,TRUE,TRUE,,NoShellExit,FALSE,Doesn't exit PowerShell upon closing of the final session.
Close-ADTSession,Closes the active ADT session.,Force,SwitchParameter,TRUE,TRUE,,Force,FALSE,Forcibly exits PowerShell upon closing of the final session.
Close-ADTSession,Closes the active ADT session.,PassThru,SwitchParameter,FALSE,TRUE,,"Force, None, NoShellExit",FALSE,Returns the exit code of the session being closed.
Complete-ADTFunction,Completes the execution of an ADT function.,Cmdlet,PSCmdlet,TRUE,FALSE,,__AllParameterSets,FALSE,The PSCmdlet object representing the cmdlet being completed.
Convert-ADTRegistryPath,Converts the specified registry key path to a format that is compatible with built-in PowerShell cmdlets.,Key,String,TRUE,FALSE,,__AllParameterSets,FALSE,Path to the registry key to convert (can be a registry hive or fully qualified path)
Convert-ADTRegistryPath,Converts the specified registry key path to a format that is compatible with built-in PowerShell cmdlets.,SID,String,FALSE,FALSE,,__AllParameterSets,FALSE,The security identifier (SID) for a user. Specifying this parameter will convert a HKEY_CURRENT_USER registry key to the HKEY_USERS\$SID format. Specify this parameter from the Invoke-ADTAllUsersRegistryAction function to read/edit HKCU registry settings for all users on the system.
Convert-ADTRegistryPath,Converts the specified registry key path to a format that is compatible with built-in PowerShell cmdlets.,Wow6432Node,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Specifies that the 32-bit registry view (Wow6432Node) should be used on a 64-bit system.
Convert-ADTValuesFromRemainingArguments,Converts the collected values from a ValueFromRemainingArguments parameter value into a dictionary or PowerShell.exe command line arguments.,RemainingArguments,IReadOnlyList`1,TRUE,FALSE,,__AllParameterSets,FALSE,The collected values to enumerate and process into a dictionary.
Convert-ADTValueType,Casts the provided value to the requested type without range errors.,Value,Int64,TRUE,FALSE,,__AllParameterSets,TRUE,The value to convert.
Convert-ADTValueType,Casts the provided value to the requested type without range errors.,To,ValueTypes,TRUE,FALSE,,__AllParameterSets,FALSE,What to cast the value to.
ConvertTo-ADTNTAccountOrSID,Convert between NT Account names and their security identifiers (SIDs).,AccountName,NTAccount,TRUE,FALSE,,NTAccountToSID,TRUE,"The Windows NT Account name specified in <domain>\<username> format. Use fully qualified account names (e.g., <domain>\<username>) instead of isolated names (e.g, <username>) because they are unambiguous and provide better performance."
ConvertTo-ADTNTAccountOrSID,Convert between NT Account names and their security identifiers (SIDs).,SID,SecurityIdentifier,TRUE,FALSE,,SIDToNTAccount,TRUE,The Windows NT Account SID.
ConvertTo-ADTNTAccountOrSID,Convert between NT Account names and their security identifiers (SIDs).,WellKnownSIDName,WellKnownSidType,TRUE,FALSE,,"WellKnownName, WellKnownNameLdap, WellKnownNameLocalHost",TRUE,"Specify the Well Known SID name translate to the actual SID (e.g., LocalServiceSid). To get all well known SIDs available on system: [Enum]::GetNames([Security.Principal.WellKnownSidType])"
ConvertTo-ADTNTAccountOrSID,Convert between NT Account names and their security identifiers (SIDs).,WellKnownToNTAccount,SwitchParameter,FALSE,TRUE,,"WellKnownName, WellKnownNameLdap, WellKnownNameLocalHost",FALSE,Convert the Well Known SID to an NTAccount name.
ConvertTo-ADTNTAccountOrSID,Convert between NT Account names and their security identifiers (SIDs).,LocalHost,SwitchParameter,TRUE,TRUE,,WellKnownNameLocalHost,FALSE,Avoids a costly domain check when only converting local accounts.
ConvertTo-ADTNTAccountOrSID,Convert between NT Account names and their security identifiers (SIDs).,LdapUri,String,TRUE,FALSE,,WellKnownNameLdap,FALSE,"Allows specification of the LDAP URI to use, either `LDAP://` or `LDAPS://`."
Copy-ADTContentToCache,Copies the toolkit content to a cache folder on the local machine and sets the $adtSession.DirFiles and $adtSession.DirSupportFiles directory to the cache path.,LiteralPath,String,FALSE,FALSE,"Path, PSPath",__AllParameterSets,FALSE,The path to the software cache folder.
Copy-ADTFile,Copies files and directories from a source to a destination.,Path,String[],TRUE,FALSE,,__AllParameterSets,FALSE,Path of the file to copy. Multiple paths can be specified.
Copy-ADTFile,Copies files and directories from a source to a destination.,Destination,String,TRUE,FALSE,,__AllParameterSets,FALSE,Destination Path of the file to copy.
Copy-ADTFile,Copies files and directories from a source to a destination.,Recurse,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Copy files in subdirectories.
Copy-ADTFile,Copies files and directories from a source to a destination.,Flatten,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Flattens the files into the root destination directory.
Copy-ADTFile,Copies files and directories from a source to a destination.,ContinueFileCopyOnError,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Continue copying files if an error is encountered. This will continue the deployment script and will warn about files that failed to be copied.
Copy-ADTFile,Copies files and directories from a source to a destination.,FileCopyMode,String,FALSE,FALSE,,__AllParameterSets,FALSE,"Select from 'Native' or 'Robocopy'. Default is configured in config.psd1. Note that Robocopy supports * in file names, but not folders, in source paths."
Copy-ADTFile,Copies files and directories from a source to a destination.,RobocopyParams,String,FALSE,FALSE,,__AllParameterSets,FALSE,Override the default Robocopy parameters.
Copy-ADTFile,Copies files and directories from a source to a destination.,RobocopyAdditionalParams,String,FALSE,FALSE,,__AllParameterSets,FALSE,Append to the default Robocopy parameters.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,Path,String[],TRUE,FALSE,,__AllParameterSets,TRUE,The path of the file or folder to copy.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,Destination,String,FALSE,FALSE,,__AllParameterSets,FALSE,The path of the destination folder to append to the root of the user profile.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,BasePath,String,FALSE,FALSE,,__AllParameterSets,FALSE,The base path to append the destination folder to.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,Recurse,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Copy files in subdirectories.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,Flatten,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Flattens the files into the root destination directory.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,FileCopyMode,String,FALSE,FALSE,,__AllParameterSets,FALSE,"Select from 'Native' or 'Robocopy'. Default is configured in config.psd1. Note that Robocopy supports * in file names, but not folders, in source paths."
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,RobocopyParams,String,FALSE,FALSE,,__AllParameterSets,FALSE,Override the default Robocopy parameters.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,RobocopyAdditionalParams,String,FALSE,FALSE,,__AllParameterSets,FALSE,Append to the default Robocopy parameters.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,UserProfiles,UserProfile[],TRUE,FALSE,,SpecifiedProfiles,FALSE,Specifies one or more UserProfile objects to copy files into.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,ExcludeNTAccount,String[],FALSE,FALSE,,CalculatedProfiles,FALSE,Specify NT account names in Domain\Username format to exclude from the list of user profiles.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,IncludeSystemProfiles,SwitchParameter,FALSE,TRUE,,CalculatedProfiles,FALSE,"Include system profiles: SYSTEM, LOCAL SERVICE, NETWORK SERVICE."
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,IncludeServiceProfiles,SwitchParameter,FALSE,TRUE,,CalculatedProfiles,FALSE,Include service profiles where NTAccount begins with NT SERVICE.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,ExcludeDefaultUser,SwitchParameter,FALSE,TRUE,,CalculatedProfiles,FALSE,Exclude the Default User.
Copy-ADTFileToUserProfiles,Copy one or more items to each user profile on the system.,ContinueFileCopyOnError,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Continue copying files if an error is encountered. This will continue the deployment script and will warn about files that failed to be copied.
Disable-ADTTerminalServerInstallMode,Changes the current Remote Desktop Session Host/Citrix server to user execute mode.,(none),,,,,,,
Dismount-ADTWimFile,Dismounts a WIM file from the specified mount point.,ImagePath,FileInfo[],TRUE,FALSE,,ImagePath,FALSE,The path to the WIM file.
Dismount-ADTWimFile,Dismounts a WIM file from the specified mount point.,Path,DirectoryInfo[],TRUE,FALSE,,Path,FALSE,The path to the WIM mount point.
Enable-ADTTerminalServerInstallMode,Changes the current Remote Desktop Session Host/Citrix server to user install mode.,(none),,,,,,,
Export-ADTEnvironmentTableToSessionState,Exports the content of `Get-ADTEnvironmentTable` to the provided SessionState as variables.,SessionState,SessionState,FALSE,FALSE,,__AllParameterSets,FALSE,"Defaults to $PSCmdlet.SessionState to get the caller's SessionState, so only required if you need to override this."
Get-ADTApplication,Retrieves information about installed applications.,Name,String[],FALSE,FALSE,,__AllParameterSets,FALSE,The name of the application to retrieve information for. Performs a contains match on the application display name by default.
Get-ADTApplication,Retrieves information about installed applications.,NameMatch,String,FALSE,FALSE,,__AllParameterSets,FALSE,"Specifies the type of match to perform on the application name. Valid values are 'Contains', 'Exact', 'Wildcard', and 'Regex'. The default value is 'Contains'."
Get-ADTApplication,Retrieves information about installed applications.,ProductCode,Guid[],FALSE,FALSE,,__AllParameterSets,FALSE,The product code of the application to retrieve information for.
Get-ADTApplication,Retrieves information about installed applications.,ApplicationType,String,FALSE,FALSE,,__AllParameterSets,FALSE,"Specifies the type of application to remove. Valid values are 'All', 'MSI', and 'EXE'. The default value is 'All'."
Get-ADTApplication,Retrieves information about installed applications.,IncludeUpdatesAndHotfixes,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Include matches against updates and hotfixes in results.
Get-ADTApplication,Retrieves information about installed applications.,FilterScript,ScriptBlock,FALSE,FALSE,,__AllParameterSets,FALSE,A script used to filter the results as they're processed.
Get-ADTBoundParametersAndDefaultValues,Returns a hashtable with the output of $PSBoundParameters and default-valued parameters for the given InvocationInfo.,Invocation,InvocationInfo,TRUE,FALSE,,__AllParameterSets,FALSE,The script or function's InvocationInfo ($MyInvocation) to process.
Get-ADTBoundParametersAndDefaultValues,Returns a hashtable with the output of $PSBoundParameters and default-valued parameters for the given InvocationInfo.,ParameterSetName,String,FALSE,FALSE,,__AllParameterSets,FALSE,The ParameterSetName to use as a filter against the Invocation's parameters.
Get-ADTBoundParametersAndDefaultValues,Returns a hashtable with the output of $PSBoundParameters and default-valued parameters for the given InvocationInfo.,HelpMessage,String,FALSE,FALSE,,__AllParameterSets,FALSE,The HelpMessage field to use as a filter against the Invocation's parameters.
Get-ADTBoundParametersAndDefaultValues,Returns a hashtable with the output of $PSBoundParameters and default-valued parameters for the given InvocationInfo.,Exclude,String[],FALSE,FALSE,,__AllParameterSets,FALSE,One or more parameter names to exclude from the results.
Get-ADTBoundParametersAndDefaultValues,Returns a hashtable with the output of $PSBoundParameters and default-valued parameters for the given InvocationInfo.,CommonParameters,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Specifies whether PowerShell advanced function common parameters should be included.
Get-ADTCommandTable,Returns PSAppDeployToolkit's safe command lookup table.,(none),,,,,,,
Get-ADTConfig,Retrieves the configuration data for the ADT module.,(none),,,,,,,
Get-ADTDeferHistory,Get the history of deferrals in the registry for the current application.,(none),,,,,,,
Get-ADTEnvironment,Retrieves the environment data for the ADT module. This function has been replaced by [Get-ADTEnvironmentTable]. Please migrate your scripts as this will be removed in PSAppDeployToolkit 4.2.0.,(none),,,,,,,
Get-ADTEnvironmentTable,Retrieves the environment data for the ADT module.,(none),,,,,,,
Get-ADTEnvironmentVariable,Gets the value of the specified environment variable.,Variable,String,TRUE,FALSE,,__AllParameterSets,FALSE,The variable to get.
Get-ADTEnvironmentVariable,Gets the value of the specified environment variable.,Target,EnvironmentVariableTarget,FALSE,FALSE,,__AllParameterSets,FALSE,"The target of the variable to get. This can be the machine, user, or process."
Get-ADTExecutableInfo,Retrieves information about any valid Windows PE executable.,Path,String[],TRUE,FALSE,,Path,FALSE,One or more expandable executable paths to retrieve info from.
Get-ADTExecutableInfo,Retrieves information about any valid Windows PE executable.,LiteralPath,String[],TRUE,FALSE,PSPath,LiteralPath,FALSE,One or more literal executable paths to retrieve info from.
Get-ADTExecutableInfo,Retrieves information about any valid Windows PE executable.,InputObject,FileInfo,TRUE,FALSE,,InputObject,TRUE,A FileInfo object to retrieve executable info from. Available for pipelining.
Get-ADTFileVersion,Gets the version of the specified file.,File,FileInfo,TRUE,FALSE,,__AllParameterSets,FALSE,The path of the file.
Get-ADTFileVersion,Gets the version of the specified file.,ProductVersion,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Switch that makes the command return the file's ProductVersion instead of its FileVersion.
Get-ADTFreeDiskSpace,Retrieves the free disk space in MB on a particular drive (defaults to system drive).,Drive,DriveInfo,FALSE,FALSE,,__AllParameterSets,FALSE,The drive to check free disk space on.
Get-ADTIniSection,Parses an INI file and returns the specified section as an ordered hashtable of key value pairs.,FilePath,String,TRUE,FALSE,,__AllParameterSets,FALSE,Path to the INI file.
Get-ADTIniSection,Parses an INI file and returns the specified section as an ordered hashtable of key value pairs.,Section,String,TRUE,FALSE,,__AllParameterSets,FALSE,Section within the INI file.
Get-ADTIniValue,Parses an INI file and returns the value of the specified section and key.,FilePath,String,TRUE,FALSE,,__AllParameterSets,FALSE,Path to the INI file.
Get-ADTIniValue,Parses an INI file and returns the value of the specified section and key.,Section,String,TRUE,FALSE,,__AllParameterSets,FALSE,Section within the INI file.
Get-ADTIniValue,Parses an INI file and returns the value of the specified section and key.,Key,String,TRUE,FALSE,,__AllParameterSets,FALSE,Key within the section of the INI file.
Get-ADTLoggedOnUser,Retrieves session details for all local and RDP logged on users.,(none),,,,,,,
Get-ADTModuleCallback,Returns all callbacks from the nominated hooking point.,Hookpoint,CallbackType,TRUE,FALSE,,__AllParameterSets,FALSE,The hook point to return the callbacks for. Valid hookpoints are: * OnInit (The callback is executed before the module is initialized) * OnStart (The callback is executed before the first deployment session is opened) * PreOpen (The callback is executed before a deployment session is opened) * PostOpen (The callback is executed after a deployment session is opened) * PreClose (The callback is executed before the deployment session is closed) * PostClose (The callback is executed after the deployment session is closed) * OnFinish (The callback is executed before the last deployment session is closed) * OnExit (The callback is executed after the last deployment session is closed)
Get-ADTMsiExitCodeMessage,Get message for MSI exit code.,MsiExitCode,Nullable`1,TRUE,FALSE,,__AllParameterSets,FALSE,MSI exit code.
Get-ADTMsiTableProperty,Get all of the properties from a Windows Installer database table or the Summary Information stream and return as a custom object.,LiteralPath,String,TRUE,FALSE,"Path, PSPath",__AllParameterSets,FALSE,The fully qualified path to an database file. Supports .msi and .msp files.
Get-ADTMsiTableProperty,Get all of the properties from a Windows Installer database table or the Summary Information stream and return as a custom object.,TransformPath,String[],FALSE,FALSE,,__AllParameterSets,FALSE,The fully qualified path to a list of MST file(s) which should be applied to the MSI file.
Get-ADTMsiTableProperty,Get all of the properties from a Windows Installer database table or the Summary Information stream and return as a custom object.,Table,String,FALSE,FALSE,,TableInfo,FALSE,The name of the the MSI table from which all of the properties must be retrieved.
Get-ADTMsiTableProperty,Get all of the properties from a Windows Installer database table or the Summary Information stream and return as a custom object.,TablePropertyNameColumnNum,Int32,FALSE,FALSE,,TableInfo,FALSE,Specify the table column number which contains the name of the properties.
Get-ADTMsiTableProperty,Get all of the properties from a Windows Installer database table or the Summary Information stream and return as a custom object.,TablePropertyValueColumnNum,Int32,FALSE,FALSE,,TableInfo,FALSE,Specify the table column number which contains the value of the properties.
Get-ADTMsiTableProperty,Get all of the properties from a Windows Installer database table or the Summary Information stream and return as a custom object.,GetSummaryInformation,SwitchParameter,TRUE,TRUE,,SummaryInfo,FALSE,Retrieves the Summary Information for the Windows Installer database. Summary Information property descriptions: https://msdn.microsoft.com/en-us/library/aa372049(v=vs.85).aspx
Get-ADTObjectProperty,Get a property from any object.,InputObject,Object,TRUE,FALSE,,__AllParameterSets,FALSE,Specifies an object which has properties that can be retrieved.
Get-ADTObjectProperty,Get a property from any object.,PropertyName,String,TRUE,FALSE,,__AllParameterSets,FALSE,Specifies the name of a property to retrieve.
Get-ADTObjectProperty,Get a property from any object.,ArgumentList,Object[],FALSE,FALSE,,__AllParameterSets,FALSE,Argument to pass to the property being retrieved.
Get-ADTOperatingSystemInfo,Gets information about the current computer's operating system.,(none),,,,,,,
Get-ADTPEFileArchitecture,Determine if a PE file is a 32-bit or a 64-bit file.,Path,String[],TRUE,FALSE,,Path,FALSE,One or more expandable executable paths to retrieve info from.
Get-ADTPEFileArchitecture,Determine if a PE file is a 32-bit or a 64-bit file.,LiteralPath,String[],TRUE,FALSE,"PSPath, FilePath",LiteralPath,FALSE,One or more literal executable paths to retrieve info from.
Get-ADTPEFileArchitecture,Determine if a PE file is a 32-bit or a 64-bit file.,InputObject,FileInfo,TRUE,FALSE,,InputObject,TRUE,A FileInfo object to retrieve executable info from. Available for pipelining.
Get-ADTPEFileArchitecture,Determine if a PE file is a 32-bit or a 64-bit file.,PassThru,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,"Get the file object, attach a property indicating the file binary type, and write to pipeline."
Get-ADTPendingReboot,Get the pending reboot status on a local computer.,(none),,,,,,,
Get-ADTPowerShellProcessPath,Retrieves the path to the PowerShell executable.,(none),,,,,,,
Get-ADTPresentationSettingsEnabledUsers,Tests whether any users have presentation mode enabled on their device.,(none),,,,,,,
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",Path,String,TRUE,FALSE,,Path,FALSE,"Path of the registry key, wildcards permitted."
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",LiteralPath,String,TRUE,FALSE,Key,LiteralPath,FALSE,Literal path of the registry key.
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",Name,String,FALSE,FALSE,,__AllParameterSets,FALSE,Value name to retrieve (optional).
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",Wow6432Node,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Specify this switch to read the 32-bit registry (Wow6432Node) on 64-bit systems.
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",SID,String,FALSE,FALSE,,__AllParameterSets,FALSE,The security identifier (SID) for a user. Specifying this parameter will convert a HKEY_CURRENT_USER registry key to the HKEY_USERS\$SID format. Specify this parameter from the Invoke-ADTAllUsersRegistryAction function to read/edit HKCU registry settings for all users on the system.
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",ReturnEmptyKeyIfExists,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Return the registry key if it exists but it has no property/value pairs underneath it.
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",DoNotExpandEnvironmentNames,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Return unexpanded REG_EXPAND_SZ values.
Get-ADTRunningProcesses,Gets the processes that are running from a list of process objects.,ProcessObjects,ProcessDefinition[],TRUE,FALSE,,__AllParameterSets,FALSE,One or more process objects to search for.
Get-ADTServiceStartMode,Retrieves the startup mode of a specified service.,Service,ServiceController,TRUE,FALSE,,__AllParameterSets,FALSE,Specify the service object to retrieve the startup mode for.
Get-ADTSession,Retrieves the most recent ADT session.,(none),,,,,,,
Get-ADTShortcut,Get information from a .lnk or .url type shortcut.,LiteralPath,String,TRUE,FALSE,"Path, PSPath",__AllParameterSets,FALSE,Path to the shortcut to get information from.
Get-ADTStringTable,Retrieves the string database from the ADT module.,(none),,,,,,,
Get-ADTUniversalDate,Returns the date/time for the local culture in a universal sortable date time pattern. This function has been deprecated and will be removed from PSAppDeployToolkit 4.2.0.,DateTime,String,FALSE,FALSE,,__AllParameterSets,FALSE,Specify the DateTime in the current culture.
Get-ADTUserNotificationState,Gets the specified user's notification state.,(none),,,,,,,
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",FilterScript,ScriptBlock,TRUE,FALSE,,FilterScript,FALSE,Allows filtration of the returned result by any property in a UserProfile object.
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",ExcludeNTAccount,NTAccount[],FALSE,FALSE,,All,FALSE,Specify NT account names in DOMAIN\username format to exclude from the list of user profiles.
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",IncludeSystemProfiles,SwitchParameter,FALSE,TRUE,,All,FALSE,"Include system profiles: SYSTEM, LOCAL SERVICE, NETWORK SERVICE."
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",IncludeServiceProfiles,SwitchParameter,FALSE,TRUE,,All,FALSE,Include service (NT SERVICE) profiles.
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",IncludeIISAppPoolProfiles,SwitchParameter,FALSE,TRUE,,All,FALSE,Include IIS AppPool profiles. Excluded by default as they don't parse well.
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",ExcludeDefaultUser,SwitchParameter,FALSE,TRUE,,All,FALSE,Exclude the Default User.
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",LoadProfilePaths,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Load additional profile paths for each user profile.
Get-ADTWindowTitle,Search for an open window title and return details about the window.,WindowTitle,String[],FALSE,FALSE,,__AllParameterSets,FALSE,One or more titles of the application window to search for using regex matching.
Get-ADTWindowTitle,Search for an open window title and return details about the window.,WindowHandle,IntPtr[],FALSE,FALSE,,__AllParameterSets,FALSE,One or more window handles of the application window to search for.
Get-ADTWindowTitle,Search for an open window title and return details about the window.,ParentProcess,String[],FALSE,FALSE,,__AllParameterSets,FALSE,One or more process names of the application window to search for.
Initialize-ADTFunction,Initializes the ADT function environment.,Cmdlet,PSCmdlet,TRUE,FALSE,,__AllParameterSets,FALSE,The cmdlet that is being initialized.
Initialize-ADTFunction,Initializes the ADT function environment.,SessionState,SessionState,FALSE,FALSE,,__AllParameterSets,FALSE,The session state of the cmdlet.
Initialize-ADTModule,Initializes the ADT module by setting up necessary configurations and environment.,ScriptDirectory,String[],FALSE,FALSE,,__AllParameterSets,FALSE,An override directory to use for config and string loading.
Initialize-ADTModule,Initializes the ADT module by setting up necessary configurations and environment.,AdditionalEnvironmentVariables,IDictionary,FALSE,FALSE,,__AllParameterSets,FALSE,A dictionary of key/value pairs to inject into the generated environment table.
Install-ADTMSUpdates,Install all Microsoft Updates in a given directory. This function has been deprecated and will be removed from PSAppDeployToolkit 4.2.0.,Directory,String,TRUE,FALSE,,__AllParameterSets,FALSE,Directory containing the updates.
Install-ADTSCCMSoftwareUpdates,Scans for outstanding SCCM updates to be installed and installs the pending updates.,SoftwareUpdatesScanWaitInSeconds,Nullable`1,FALSE,FALSE,,__AllParameterSets,FALSE,The amount of time to wait in seconds for the software updates scan to complete.
Install-ADTSCCMSoftwareUpdates,Scans for outstanding SCCM updates to be installed and installs the pending updates.,WaitForPendingUpdatesTimeout,TimeSpan,FALSE,FALSE,,__AllParameterSets,FALSE,The amount of time to wait for missing and pending updates to install before exiting the function.
Invoke-ADTAllUsersRegistryAction,Set current user registry settings for all current users and any new users in the future.,ScriptBlock,ScriptBlock[],TRUE,FALSE,,__AllParameterSets,FALSE,Script block which contains HKCU registry actions to be run for all users on the system.
Invoke-ADTAllUsersRegistryAction,Set current user registry settings for all current users and any new users in the future.,UserProfiles,UserProfile[],FALSE,FALSE,,__AllParameterSets,FALSE,Specify the user profiles to modify HKCU registry settings for. Default is all user profiles except for system profiles.
Invoke-ADTAllUsersRegistryAction,Set current user registry settings for all current users and any new users in the future.,SkipUnloadedProfiles,SwitchParameter,FALSE,TRUE,,__AllParameterSets,FALSE,Specifies that unloaded registry hives should be skipped and not be loaded by the function.
Invoke-ADTCommandWithRetries,Drop-in replacement for any cmdlet/function where a retry is desirable due to transient issues.,Command,Object,TRUE,FALSE,,__AllParameterSets,FALSE,The name of the command to invoke.
Invoke-ADTCommandWithRetries,Drop-in replacement for any cmdlet/function where a retry is desirable due to transient issues.,Retries,Nullable`1,FALSE,FALSE,,__AllParameterSets,FALSE,How many retries to perform before throwing.
Invoke-ADTCommandWithRetries,Drop-in replacement for any cmdlet/function where a retry is desirable due to transient issues.,SleepDuration,TimeSpan,FALSE,FALSE,,__AllParameterSets,FALSE,How long to sleep between retries.
