Function,Synopsis,Syntax
Get-ADTFreeDiskSpace,Retrieves the free disk space in MB on a particular drive (defaults to system drive).,Get-ADTFreeDiskSpace [[-Drive] <DriveInfo>] [<CommonParameters>]
Get-ADTIniSection,Parses an INI file and returns the specified section as an ordered hashtable of key value pairs.,Get-ADTIniSection [-FilePath] <String> [-Section] <String> [<CommonParameters>]
Get-ADTIniValue,Parses an INI file and returns the value of the specified section and key.,Get-ADTIniValue [-FilePath] <String> [-Section] <String> [-Key] <String> [<CommonParameters>]
Get-ADTLoggedOnUser,Retrieves session details for all local and RDP logged on users.,Get-ADTLoggedOnUser [<CommonParameters>]
Get-ADTModuleCallback,Returns all callbacks from the nominated hooking point.,Get-ADTModuleCallback [-Hookpoint] <CallbackType> [<CommonParameters>]
Get-ADTMsiExitCodeMessage,Get message for MSI exit code.,Get-ADTMsiExitCodeMessage [-MsiExitCode] <Nullable`1> [<CommonParameters>]
Get-ADTMsiTableProperty,Get all of the properties from a Windows Installer database table or the Summary Information stream and return as a custom object.,Get-ADTMsiTableProperty [-LiteralPath] <String> [[-TransformPath] <String[]>] [[-Table] <String>] [[-TablePropertyNameColumnNum] <Int32>] [[-TablePropertyValueColumnNum] <Int32>] [-GetSummaryInformation] [<CommonParameters>]
Get-ADTObjectProperty,Get a property from any object.,Get-ADTObjectProperty [-InputObject] <Object> [-PropertyName] <String> [[-ArgumentList] <Object[]>] [<CommonParameters>]
Get-ADTOperatingSystemInfo,Gets information about the current computer's operating system.,Get-ADTOperatingSystemInfo [<CommonParameters>]
Get-ADTPEFileArchitecture,Determine if a PE file is a 32-bit or a 64-bit file.,Get-ADTPEFileArchitecture [-Path] <String[]> [-LiteralPath] <String[]> [-InputObject] <FileInfo> [-PassThru] [<CommonParameters>]
Get-ADTPendingReboot,Get the pending reboot status on a local computer.,Get-ADTPendingReboot [<CommonParameters>]
Get-ADTPowerShellProcessPath,Retrieves the path to the PowerShell executable.,Get-ADTPowerShellProcessPath [<CommonParameters>]
Get-ADTPresentationSettingsEnabledUsers,Tests whether any users have presentation mode enabled on their device.,Get-ADTPresentationSettingsEnabledUsers [<CommonParameters>]
Get-ADTRegistryKey,"Retrieves value names and value data for a specified registry key or optionally, a specific value.",Get-ADTRegistryKey [-Path] <String> [-LiteralPath] <String> [[-Name] <String>] [-Wow6432Node] [[-SID] <String>] [-ReturnEmptyKeyIfExists] [-DoNotExpandEnvironmentNames] [<CommonParameters>]
Get-ADTRunningProcesses,Gets the processes that are running from a list of process objects.,Get-ADTRunningProcesses [-ProcessObjects] <ProcessDefinition[]> [<CommonParameters>]
Get-ADTServiceStartMode,Retrieves the startup mode of a specified service.,Get-ADTServiceStartMode [-Service] <ServiceController> [<CommonParameters>]
Get-ADTSession,Retrieves the most recent ADT session.,Get-ADTSession [<CommonParameters>]
Get-ADTShortcut,Get information from a .lnk or .url type shortcut.,Get-ADTShortcut [-LiteralPath] <String> [<CommonParameters>]
Get-ADTStringTable,Retrieves the string database from the ADT module.,Get-ADTStringTable [<CommonParameters>]
Get-ADTUniversalDate,Returns the date/time for the local culture in a universal sortable date time pattern. This function has been deprecated and will be removed from PSAppDeployToolkit 4.2.0.,Get-ADTUniversalDate [[-DateTime] <String>] [<CommonParameters>]
Get-ADTUserNotificationState,Gets the specified user's notification state.,Get-ADTUserNotificationState [<CommonParameters>]
Get-ADTUserProfiles,"Get the User Profile Path, User Account SID, and the User Account Name for all users that log onto the machine and also the Default User.",Get-ADTUserProfiles [-FilterScript] <ScriptBlock> [[-ExcludeNTAccount] <NTAccount[]>] [-IncludeSystemProfiles] [-IncludeServiceProfiles] [-IncludeIISAppPoolProfiles] [-ExcludeDefaultUser] [-LoadProfilePaths] [<CommonParameters>]
Get-ADTWindowTitle,Search for an open window title and return details about the window.,Get-ADTWindowTitle [[-WindowTitle] <String[]>] [[-WindowHandle] <IntPtr[]>] [[-ParentProcess] <String[]>] [<CommonParameters>]
Initialize-ADTFunction,Initializes the ADT function environment.,Initialize-ADTFunction [-Cmdlet] <PSCmdlet> [[-SessionState] <SessionState>] [<CommonParameters>]
Initialize-ADTModule,Initializes the ADT module by setting up necessary configurations and environment.,Initialize-ADTModule [[-ScriptDirectory] <String[]>] [[-AdditionalEnvironmentVariables] <IDictionary>] [<CommonParameters>]
Install-ADTMSUpdates,Install all Microsoft Updates in a given directory. This function has been deprecated and will be removed from PSAppDeployToolkit 4.2.0.,Install-ADTMSUpdates [-Directory] <String> [<CommonParameters>]
Install-ADTSCCMSoftwareUpdates,Scans for outstanding SCCM updates to be installed and installs the pending updates.,Install-ADTSCCMSoftwareUpdates [[-SoftwareUpdatesScanWaitInSeconds] <Nullable`1>] [[-WaitForPendingUpdatesTimeout] <TimeSpan>] [<CommonParameters>]
Invoke-ADTAllUsersRegistryAction,Set current user registry settings for all current users and any new users in the future.,Invoke-ADTAllUsersRegistryAction [-ScriptBlock] <ScriptBlock[]> [[-UserProfiles] <UserProfile[]>] [-SkipUnloadedProfiles] [<CommonParameters>]
Invoke-ADTCommandWithRetries,Drop-in replacement for any cmdlet/function where a retry is desirable due to transient issues.,Invoke-ADTCommandWithRetries [-Command] <Object> [[-Retries] <Nullable`1>] [[-SleepDuration] <TimeSpan>] [[-MaximumElapsedTime] <TimeSpan>] [[-SleepSeconds] <UInt32>] [[-Parameters] <IReadOnlyList`1>] [<CommonParameters>]
Invoke-ADTFunctionErrorHandler,Handles errors within ADT functions by logging and optionally passing through the error.,Invoke-ADTFunctionErrorHandler [-Cmdlet] <PSCmdlet> [-SessionState] <SessionState> [-ErrorRecord] <ErrorRecord> [[-LogMessage] <String>] [-ResolveErrorProperties] <String[]> [-AdditionalResolveErrorProperties] <String[]> [-DisableErrorResolving] [-Silent] [<CommonParameters>]
Invoke-ADTObjectMethod,Invoke method on any object.,Invoke-ADTObjectMethod [-InputObject] <Object> [-MethodName] <String> [[-ArgumentList] <Object[]>] [-Parameter] <Hashtable> [<CommonParameters>]
Invoke-ADTRegSvr32,Register or unregister a DLL file.,Invoke-ADTRegSvr32 [-FilePath] <String> [-Action] <String> [<CommonParameters>]
Invoke-ADTSCCMTask,Triggers SCCM to invoke the requested schedule task ID.,Invoke-ADTSCCMTask [-ScheduleId] <TriggerScheduleId> [<CommonParameters>]
Mount-ADTWimFile,Mounts a WIM file to a specified directory.,Mount-ADTWimFile [-ImagePath] <FileInfo> [-Path] <DirectoryInfo> [-Index] <Nullable`1> [-Name] <String> [-Force] [-PassThru] [<CommonParameters>]
New-ADTErrorRecord,Creates a new ErrorRecord object.,New-ADTErrorRecord [-Exception] <Exception> [-Category] <ErrorCategory> [[-ErrorId] <String>] [[-TargetObject] <Object>] [[-TargetName] <String>] [[-TargetType] <String>] [[-Activity] <String>] [[-Reason] <String>] [[-RecommendedAction] <String>] [<CommonParameters>]
New-ADTFolder,Create a new folder.,New-ADTFolder [-LiteralPath] <String> [<CommonParameters>]
New-ADTMsiTransform,Create a transform file for an MSI database.,New-ADTMsiTransform [-MsiPath] <String> [[-ApplyTransformPath] <String>] [[-NewTransformPath] <String>] [-TransformProperties] <Hashtable> [<CommonParameters>]
New-ADTShortcut,Creates a new .lnk or .url type shortcut.,New-ADTShortcut [-LiteralPath] <String> [-TargetPath] <String> [[-Arguments] <String>] [[-IconLocation] <String>] [[-IconIndex] <Nullable`1>] [[-Description] <String>] [[-WorkingDirectory] <String>] [[-WindowStyle] <String>] [-RunAsAdmin] [[-Hotkey] <String>] [<CommonParameters>]
New-ADTTemplate,"Creates a new folder containing a template front end and module folder, ready to customise.",New-ADTTemplate [[-Destination] <String>] [[-Name] <String>] [[-Version] <Int32>] [-Show] [-Force] [-PassThru] [<CommonParameters>]
New-ADTValidateScriptErrorRecord,Creates a new ErrorRecord for script validation errors.,New-ADTValidateScriptErrorRecord [-ParameterName] <String> [-ProvidedValue] <Object> [-ExceptionMessage] <String> [[-InnerException] <Exception>] [<CommonParameters>]
New-ADTZipFile,Create a new zip archive or add content to an existing archive.,New-ADTZipFile [-Path] <String[]> [-LiteralPath] <String[]> [-DestinationPath] <String> [[-CompressionLevel] <String>] [-Update] [-Force] [-RemoveSourceAfterArchiving] [<CommonParameters>]
Open-ADTSession,Opens a new ADT session.,Open-ADTSession [[-SessionState] <SessionState>] [[-DeploymentType] <DeploymentType>] [[-DeployMode] <DeployMode>] [-SuppressRebootPassThru] [-TerminalServerMode] [-DisableLogging] [[-AppVendor] <String>] [[-AppName] <String>] [[-AppVersion] <String>] [[-AppArch] <String>] [[-AppLang] <String>] [[-AppRevision] <String>] [[-AppScriptVersion] <Version>] [[-AppScriptDate] <DateTime>] [[-AppScriptAuthor] <String>] [[-InstallName] <String>] [[-InstallTitle] <String>] [[-DeployAppScriptFriendlyName] <String>] [[-DeployAppScriptVersion] <Version>] [[-DeployAppScriptParameters] <IReadOnlyDictionary`2>] [[-AppSuccessExitCodes] <Int32[]>] [[-AppRebootExitCodes] <Int32[]>] [[-AppProcessesToClose] <ProcessDefinition[]>] [-RequireAdmin] [[-ScriptDirectory] <String[]>] [[-DirFiles] <String>] [[-DirSupportFiles] <String>] [[-DefaultMsiFile] <String>] [[-DefaultMstFile] <String>] [[-DefaultMspFiles] <String[]>] [-DisableDefaultMsiProcessList] [-ForceMsiDetection] [-ForceWimDetection] [-NoSessionDetection] [-NoOobeDetection] [-NoProcessDetection] [-PassThru] [[-LogName] <String>] [[-SessionClass] <Type>] [[-UnboundArguments] <IReadOnlyList`1>] [<CommonParameters>]
Out-ADTPowerShellEncodedCommand,Encodes a PowerShell command into a Base64 string.,Out-ADTPowerShellEncodedCommand [-Command] <String> [<CommonParameters>]
Register-ADTDll,Register a DLL file.,Register-ADTDll [-FilePath] <String> [<CommonParameters>]
Remove-ADTContentFromCache,Removes the toolkit content from the cache folder on the local machine and reverts the $adtSession.DirFiles and $adtSession.SupportFiles directory.,Remove-ADTContentFromCache [[-LiteralPath] <String>] [<CommonParameters>]
Remove-ADTEdgeExtension,Removes an extension for Microsoft Edge using the ExtensionSettings policy.,Remove-ADTEdgeExtension [-ExtensionID] <String> [<CommonParameters>]
Remove-ADTEnvironmentVariable,Removes the specified environment variable.,Remove-ADTEnvironmentVariable [-Variable] <String> [[-Target] <EnvironmentVariableTarget>] [<CommonParameters>]
Remove-ADTFile,Removes one or more items from a given path on the filesystem.,Remove-ADTFile [-Path] <String[]> [-LiteralPath] <String[]> [-Recurse] [<CommonParameters>]
Remove-ADTFileFromUserProfiles,Removes one or more items from each user profile on the system.,Remove-ADTFileFromUserProfiles [-Path] <String[]> [-LiteralPath] <String[]> [-Recurse] [[-ExcludeNTAccount] <String[]>] [-ExcludeDefaultUser] [-IncludeSystemProfiles] [-IncludeServiceProfiles] [<CommonParameters>]
Remove-ADTFolder,Remove folder and files if they exist.,Remove-ADTFolder [-Path] <String[]> [-LiteralPath] <String[]> [-InputObject] <DirectoryInfo> [-DisableRecursion] [<CommonParameters>]
Remove-ADTHashtableNullOrEmptyValues,Removes any key/value pairs from the supplied hashtable where the value is null.,Remove-ADTHashtableNullOrEmptyValues [-Hashtable] <Hashtable> [<CommonParameters>]
Remove-ADTIniSection,Opens an INI file and removes the specified section.,Remove-ADTIniSection [-FilePath] <String> [-Section] <String> [<CommonParameters>]
Remove-ADTIniValue,Opens an INI file and removes the specified key or section.,Remove-ADTIniValue [-FilePath] <String> [-Section] <String> [[-Key] <String>] [<CommonParameters>]
Remove-ADTInvalidFileNameChars,Remove invalid characters from the supplied string.,Remove-ADTInvalidFileNameChars [-Name] <String> [<CommonParameters>]
Remove-ADTModuleCallback,Removes a callback function from the nominated hooking point.,Remove-ADTModuleCallback [-Hookpoint] <CallbackType> [-Callback] <CommandInfo[]> [<CommonParameters>]
Remove-ADTRegistryKey,Deletes the specified registry key or value.,Remove-ADTRegistryKey [-Path] <String> [-LiteralPath] <String> [[-Name] <String>] [-Wow6432Node] [-Recurse] [[-SID] <String>] [<CommonParameters>]
Reset-ADTDeferHistory,Reset the history of deferrals in the registry for the current application.,Reset-ADTDeferHistory [<CommonParameters>]
Resolve-ADTErrorRecord,Enumerates ErrorRecord details.,Resolve-ADTErrorRecord [-ErrorRecord] <ErrorRecord> [[-Property] <String[]>] [-ExcludeErrorRecord] [-ExcludeErrorInvocation] [-ExcludeErrorException] [-IncludeErrorInnerException] [<CommonParameters>]
Send-ADTKeys,Send a sequence of keys to one or more application windows.,Send-ADTKeys [-WindowTitle] <String> [-WindowHandle] <IntPtr> [-Keys] <String> [[-WaitSeconds] <Nullable`1>] [[-WaitDuration] <TimeSpan>] [<CommonParameters>]
Set-ADTActiveSetup,Creates an Active Setup entry in the registry to execute a file for each user upon login.,Set-ADTActiveSetup [-StubExePath] <String> [[-Arguments] <String>] [-Wow6432Node] [[-ExecutionPolicy] <ExecutionPolicy>] [[-Version] <String>] [[-Locale] <String>] [-DisableActiveSetup] [-PurgeActiveSetupKey] [-NoExecuteForCurrentUser] [-PassThru] [-Key] <String> [-Description] <String> [<CommonParameters>]
Set-ADTDeferHistory,Set the history of deferrals in the registry for the current application.,Set-ADTDeferHistory [[-DeferTimesRemaining] <Nullable`1>] [[-DeferDeadline] <DateTime>] [[-DeferRunInterval] <TimeSpan>] [[-DeferRunIntervalLastTime] <DateTime>] [<CommonParameters>]
Set-ADTEnvironmentVariable,Sets the value for the specified environment variable.,Set-ADTEnvironmentVariable [-Variable] <String> [-Value] <String> [[-Target] <EnvironmentVariableTarget>] [<CommonParameters>]
Set-ADTIniSection,Opens an INI file and sets the values of the specified section.,Set-ADTIniSection [-FilePath] <String> [-Section] <String> [-Content] <IDictionary> [-Overwrite] [-Force] [<CommonParameters>]
Set-ADTIniValue,Opens an INI file and sets the value of the specified section and key.,Set-ADTIniValue [-FilePath] <String> [-Section] <String> [-Key] <String> [-Value] <String> [-Force] [<CommonParameters>]
Set-ADTItemPermission,Allows you to easily change permissions on files or folders.,Set-ADTItemPermission [-LiteralPath] <String> [-AccessControlList] <FileSystemSecurity> [-User] <String[]> [-Permission] <FileSystemRights> [[-PermissionType] <AccessControlType>] [[-Inheritance] <InheritanceFlags>] [[-Propagation] <PropagationFlags>] [[-Method] <String>] [-DisableInheritance] [-EnableInheritance] [-RemoveExplicitRules] [<CommonParameters>]
Set-ADTMsiProperty,Set a property in the MSI property table.,Set-ADTMsiProperty [-Database] <__ComObject> [-PropertyName] <String> [-PropertyValue] <String> [<CommonParameters>]
Set-ADTPowerShellCulture,Changes the current thread's Culture and UICulture to the specified culture.,Set-ADTPowerShellCulture [-CultureInfo] <CultureInfo> [<CommonParameters>]
Set-ADTRegistryKey,"Creates or sets a registry key name, value, and value data.",Set-ADTRegistryKey [-LiteralPath] <String> [[-Name] <String>] [[-Value] <Object>] [[-Type] <RegistryValueKind>] [[-MultiStringValueMode] <MultiStringValueMode>] [-Wow6432Node] [[-RegistryOptions] <RegistryOptions>] [[-SID] <String>] [<CommonParameters>]
Set-ADTServiceStartMode,Set the service startup mode.,Set-ADTServiceStartMode [-Service] <ServiceController> [-StartMode] <String> [<CommonParameters>]
Set-ADTShortcut,Modifies a .lnk or .url type shortcut.,Set-ADTShortcut [-LiteralPath] <String> [[-TargetPath] <String>] [[-Arguments] <String>] [[-IconLocation] <String>] [[-IconIndex] <Nullable`1>] [[-Description] <String>] [[-WorkingDirectory] <String>] [[-WindowStyle] <String>] [-RunAsAdmin] [[-Hotkey] <String>] [<CommonParameters>]
Show-ADTBalloonTip,Displays a balloon tip notification in the system tray.,Show-ADTBalloonTip [-BalloonTipText] <String> [[-BalloonTipIcon] <ToolTipIcon>] [[-BalloonTipTime] <Nullable`1>] [-NoWait] [-Force] [-BalloonTipTitle] <String> [<CommonParameters>]
Show-ADTDialogBox,"Display a custom dialog box with optional title, buttons, icon, and timeout.",Show-ADTDialogBox [-Text] <String> [[-Buttons] <DialogBoxButtons>] [[-DefaultButton] <DialogBoxDefaultButton>] [[-Icon] <DialogBoxIcon>] [-NoWait] [-ExitOnTimeout] [-NotTopMost] [-Force] [-Title] <String> [[-Timeout] <UInt32>] [<CommonParameters>]
Show-ADTHelpConsole,Displays a help console for the ADT module.,Show-ADTHelpConsole [<CommonParameters>]
Show-ADTInstallationProgress,Displays a progress dialog in a separate thread with an updateable custom message.,Show-ADTInstallationProgress [[-StatusMessage] <String>] [[-StatusMessageDetail] <String>] [[-StatusBarPercentage] <Nullable`1>] [[-MessageAlignment] <DialogMessageAlignment>] [[-WindowLocation] <DialogPosition>] [-NotTopMost] [-AllowMove] [-Title] <String> [-Subtitle] <String> [<CommonParameters>]
