Function,Synopsis,Syntax
Show-ADTInstallationPrompt,Displays a custom installation prompt with the toolkit branding and optional buttons.,Show-ADTInstallationPrompt [-RequestInput] [[-DefaultValue] <String>] [-Message] <String> [[-MessageAlignment] <DialogMessageAlignment>] [[-ButtonRightText] <String>] [[-ButtonLeftText] <String>] [[-ButtonMiddleText] <String>] [[-Icon] <DialogSystemIcon>] [[-WindowLocation] <DialogPosition>] [-NoWait] [-PersistPrompt] [-MinimizeWindows] [-NoExitOnTimeout] [-NotTopMost] [-AllowMove] [-Force] [-Title] <String> [-Subtitle] <String> [[-Timeout] <UInt32>] [<CommonParameters>]
Show-ADTInstallationRestartPrompt,Displays a restart prompt with a countdown to a forced restart.,Show-ADTInstallationRestartPrompt [-NoCountdown] [[-CountdownSeconds] <Nullable`1>] [[-CountdownNoHideSeconds] <Nullable`1>] [-SilentRestart] [[-SilentCountdownSeconds] <Nullable`1>] [[-WindowLocation] <DialogPosition>] [-CustomText] [-NotTopMost] [-AllowMove] [-Title] <String> [-Subtitle] <String> [<CommonParameters>]
Show-ADTInstallationWelcome,Show a welcome dialog prompting the user with information about the deployment and actions to be performed before the deployment can begin.,Show-ADTInstallationWelcome [-CloseProcesses] <ProcessDefinition[]> [-HideCloseButton] [-AllowDefer] [-AllowDeferCloseProcesses] [-Silent] [-CloseProcessesCountdown] <Nullable`1> [-ForceCloseProcessesCountdown] <Nullable`1> [-ForceCountdown] <Nullable`1> [[-DeferTimes] <Nullable`1>] [[-DeferDays] <Nullable`1>] [[-DeferDeadline] <DateTime>] [[-DeferRunInterval] <TimeSpan>] [[-WindowLocation] <DialogPosition>] [-BlockExecution] [-PromptToSave] [-PersistPrompt] [-MinimizeWindows] [-NoMinimizeWindows] [-NotTopMost] [-AllowMove] [-CustomText] [-CheckDiskSpace] [[-RequiredDiskSpace] <Nullable`1>] [-Title] <String> [-Subtitle] <String> [<CommonParameters>]
Start-ADTMsiProcess,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",Start-ADTMsiProcess [[-Action] <String>] [-FilePath] <String> [-ProductCode] <Guid> [-InstalledApplication] <InstalledApplication> [[-ArgumentList] <String[]>] [[-AdditionalArgumentList] <String[]>] [-SecureArgumentList] [[-WorkingDirectory] <String>] [[-Transforms] <String[]>] [[-Patches] <String[]>] [-RunAsActiveUser] <RunAsActiveUser> [-UseLinkedAdminToken] [-UseHighestAvailableToken] [-InheritEnvironmentVariables] [-DenyUserTermination] [-UseUnelevatedToken] [-ExpandEnvironmentVariables] [[-LoggingOptions] <String>] [[-LogFileName] <String>] [[-RepairMode] <String>] [-RepairFromSource] [-SkipMSIAlreadyInstalledCheck] [-IncludeUpdatesAndHotfixes] [[-SuccessExitCodes] <Int32[]>] [[-RebootExitCodes] <Int32[]>] [[-IgnoreExitCodes] <String[]>] [[-PriorityClass] <ProcessPriorityClass>] [-ExitOnProcessFailure] [-NoDesktopRefresh] [-NoWait] [-PassThru] [<CommonParameters>]
Start-ADTMsiProcessAsUser,"Executes msiexec.exe to perform actions such as install, uninstall, patch, repair, or active setup for MSI and MSP files or MSI product codes.",Start-ADTMsiProcessAsUser [[-Username] <NTAccount>] [[-Action] <String>] [-FilePath] <String> [-ProductCode] <Guid> [-InstalledApplication] <InstalledApplication> [[-ArgumentList] <String[]>] [[-AdditionalArgumentList] <String[]>] [-SecureArgumentList] [[-WorkingDirectory] <String>] [[-Transforms] <String[]>] [[-Patches] <String[]>] [-UseLinkedAdminToken] [-UseHighestAvailableToken] [-InheritEnvironmentVariables] [-ExpandEnvironmentVariables] [-DenyUserTermination] [[-LoggingOptions] <String>] [[-LogFileName] <String>] [[-RepairMode] <String>] [-RepairFromSource] [-SkipMSIAlreadyInstalledCheck] [-IncludeUpdatesAndHotfixes] [[-SuccessExitCodes] <Int32[]>] [[-RebootExitCodes] <Int32[]>] [[-IgnoreExitCodes] <String[]>] [[-PriorityClass] <ProcessPriorityClass>] [-ExitOnProcessFailure] [-NoDesktopRefresh] [-NoWait] [-PassThru] [<CommonParameters>]
Start-ADTMspProcess,Executes an MSP file using the same logic as Start-ADTMsiProcess.,Start-ADTMspProcess [-FilePath] <String> [[-AdditionalArgumentList] <String[]>] [-SecureArgumentList] [-RunAsActiveUser] <RunAsActiveUser> [-UseLinkedAdminToken] [-UseHighestAvailableToken] [-InheritEnvironmentVariables] [-DenyUserTermination] [-UseUnelevatedToken] [-ExpandEnvironmentVariables] [[-LoggingOptions] <String>] [[-LogFileName] <String>] [[-SuccessExitCodes] <Int32[]>] [[-RebootExitCodes] <Int32[]>] [[-IgnoreExitCodes] <String[]>] [[-PriorityClass] <ProcessPriorityClass>] [-ExitOnProcessFailure] [-NoDesktopRefresh] [-NoWait] [-PassThru] [<CommonParameters>]
Start-ADTMspProcessAsUser,Executes an MSP file using the same logic as Start-ADTMsiProcess.,Start-ADTMspProcessAsUser [[-Username] <NTAccount>] [-FilePath] <String> [[-AdditionalArgumentList] <String[]>] [-UseLinkedAdminToken] [-UseHighestAvailableToken] [-InheritEnvironmentVariables] [-DenyUserTermination] [-ExpandEnvironmentVariables] [[-LoggingOptions] <String>] [[-LogFileName] <String>] [[-SuccessExitCodes] <Int32[]>] [[-RebootExitCodes] <Int32[]>] [[-IgnoreExitCodes] <String[]>] [[-PriorityClass] <ProcessPriorityClass>] [-ExitOnProcessFailure] [-NoDesktopRefresh] [-NoWait] [-PassThru] [<CommonParameters>]
Start-ADTProcess,"Execute a process with optional arguments, working directory, window style.",Start-ADTProcess [-FilePath] <String> [[-ArgumentList] <String[]>] [-SecureArgumentList] [[-WorkingDirectory] <String>] [-RunAsActiveUser] <RunAsActiveUser> [-UseLinkedAdminToken] [-UseHighestAvailableToken] [-InheritEnvironmentVariables] [-DenyUserTermination] [-UseUnelevatedToken] [-UseShellExecute] [[-Verb] <String>] [-ExpandEnvironmentVariables] [-WindowStyle] <ProcessWindowStyle> [-CreateNoWindow] [[-StreamEncoding] <Encoding>] [-NoStreamLogging] [-WaitForMsiExec] [[-MsiExecWaitTime] <TimeSpan>] [-WaitForChildProcesses] [-KillChildProcessesWithParent] [-Timeout] <TimeSpan> [[-TimeoutAction] <ActionPreference>] [-NoTerminateOnTimeout] [[-SuccessExitCodes] <Int32[]>] [[-RebootExitCodes] <Int32[]>] [[-IgnoreExitCodes] <String[]>] [[-PriorityClass] <ProcessPriorityClass>] [-ExitOnProcessFailure] [-NoWait] [-PassThru] [<CommonParameters>]
Start-ADTProcessAsUser,Invokes a process in another user's session.,Start-ADTProcessAsUser [[-Username] <NTAccount>] [-FilePath] <String> [[-ArgumentList] <String[]>] [-SecureArgumentList] [[-WorkingDirectory] <String>] [-UseLinkedAdminToken] [-UseHighestAvailableToken] [-InheritEnvironmentVariables] [-ExpandEnvironmentVariables] [-DenyUserTermination] [-WindowStyle] <ProcessWindowStyle> [-CreateNoWindow] [[-StreamEncoding] <Encoding>] [-NoStreamLogging] [-WaitForMsiExec] [[-MsiExecWaitTime] <TimeSpan>] [-WaitForChildProcesses] [-KillChildProcessesWithParent] [-Timeout] <TimeSpan> [[-TimeoutAction] <ActionPreference>] [-NoTerminateOnTimeout] [[-SuccessExitCodes] <Int32[]>] [[-RebootExitCodes] <Int32[]>] [[-IgnoreExitCodes] <String[]>] [[-PriorityClass] <ProcessPriorityClass>] [-ExitOnProcessFailure] [-NoWait] [-PassThru] [<CommonParameters>]
Start-ADTServiceAndDependencies,Start a Windows service and its dependencies.,Start-ADTServiceAndDependencies [-Name] <String> [-InputObject] <ServiceController> [-SkipDependentServices] [[-PendingStatusWait] <TimeSpan>] [-PassThru] [<CommonParameters>]
Stop-ADTServiceAndDependencies,Stop a Windows service and its dependencies.,Stop-ADTServiceAndDependencies [-Name] <String> [-InputObject] <ServiceController> [-SkipDependentServices] [[-PendingStatusWait] <TimeSpan>] [-PassThru] [<CommonParameters>]
Test-ADTBattery,Tests whether the local machine is running on AC power or not.,Test-ADTBattery [-PassThru] [<CommonParameters>]
Test-ADTCallerIsAdmin,Checks if the current user has administrative privileges.,Test-ADTCallerIsAdmin [<CommonParameters>]
Test-ADTEspActive,Checks if the device is currently within a device or user Enrollment Status Page (ESP) phase.,Test-ADTEspActive [<CommonParameters>]
Test-ADTMicrophoneInUse,Tests whether the device's microphone is in use.,Test-ADTMicrophoneInUse [<CommonParameters>]
Test-ADTModuleInitialized,Checks if the ADT (PSAppDeployToolkit) module is initialized.,Test-ADTModuleInitialized [<CommonParameters>]
Test-ADTMSUpdates,Test whether a Microsoft Windows update is installed.,Test-ADTMSUpdates [-KbNumber] <String> [<CommonParameters>]
Test-ADTMutexAvailability,"Wait, up to a timeout value, to check if current thread is able to acquire an exclusive lock on a system mutex.",Test-ADTMutexAvailability [-MutexName] <String> [[-MutexWaitTime] <TimeSpan>] [<CommonParameters>]
Test-ADTNetworkConnection,Tests for an active local network connection; ethernet/Wi-Fi by default but can test for a number of other connection types.,Test-ADTNetworkConnection [[-InterfaceType] <NetworkInterfaceType[]>] [<CommonParameters>]
Test-ADTOobeCompleted,Checks if the device's Out-of-Box Experience (OOBE) has completed or not.,Test-ADTOobeCompleted [<CommonParameters>]
Test-ADTPowerPoint,Tests whether PowerPoint is running in either fullscreen slideshow mode or presentation mode.,Test-ADTPowerPoint [<CommonParameters>]
Test-ADTRegistryValue,Test if a registry value exists.,Test-ADTRegistryValue [-Key] <String> [-Name] <Object> [[-SID] <String>] [-Wow6432Node] [<CommonParameters>]
Test-ADTServiceExists,Check to see if a service exists.,Test-ADTServiceExists [-Name] <String> [-UseCIM] [-PassThru] [<CommonParameters>]
Test-ADTSessionActive,Checks if there is an active ADT session.,Test-ADTSessionActive [<CommonParameters>]
Test-ADTUserIsBusy,"Tests whether the device's microphone is in use, the user has manually turned on presentation mode, or PowerPoint is running in either fullscreen slideshow mode or presentation mode.",Test-ADTUserIsBusy [<CommonParameters>]
Unblock-ADTAppExecution,Unblocks the execution of applications performed by the Block-ADTAppExecution function.,Unblock-ADTAppExecution [[-Tasks] <CimInstance[]>] [<CommonParameters>]
Uninstall-ADTApplication,"Removes one or more applications specified by name, filter script, or InstalledApplication object from Get-ADTApplication.",Uninstall-ADTApplication [-InstalledApplication] <InstalledApplication[]> [[-Name] <String[]>] [[-NameMatch] <String>] [[-ProductCode] <Guid[]>] [[-ApplicationType] <String>] [-IncludeUpdatesAndHotfixes] [[-FilterScript] <ScriptBlock>] [[-ArgumentList] <String[]>] [[-AdditionalArgumentList] <String[]>] [-SecureArgumentList] [[-LoggingOptions] <String>] [[-LogFileName] <String>] [-WaitForChildProcesses] [-KillChildProcessesWithParent] [[-SuccessExitCodes] <Int32[]>] [[-RebootExitCodes] <Int32[]>] [[-IgnoreExitCodes] <String[]>] [-ExitOnProcessFailure] [-PassThru] [<CommonParameters>]
Unregister-ADTDll,Unregister a DLL file.,Unregister-ADTDll [-FilePath] <String> [<CommonParameters>]
Update-ADTDesktop,"Refresh the Windows Explorer Shell, which causes the desktop icons and the environment variables to be reloaded.",Update-ADTDesktop [<CommonParameters>]
Update-ADTEnvironmentPsProvider,Updates the environment variables for the current PowerShell session with any environment variable changes that may have occurred during script execution.,Update-ADTEnvironmentPsProvider [-LoadLoggedOnUserEnvironmentVariables] [<CommonParameters>]
Update-ADTGroupPolicy,Performs a gpupdate command to refresh Group Policies on the local machine.,Update-ADTGroupPolicy [<CommonParameters>]
Write-ADTLogEntry,Write messages to a log file in CMTrace.exe compatible format or Legacy text file format.,Write-ADTLogEntry [-Message] <String[]> [[-Severity] <LogSeverity>] [[-Source] <String>] [[-ScriptSection] <String>] [[-LogType] <LogStyle>] [[-LogFileDirectory] <String>] [[-LogFileName] <String>] [[-HostLogStream] <HostLogStream>] [-PassThru] [-DebugMessage] [<CommonParameters>]
